Datetime,Open,High,Low,Close,Adj Close,Volume
2024-07-26 09:30:00-04:00,542.280029296875,542.4299926757812,541.489990234375,541.6900024414062,541.6900024414062,2809947
2024-07-26 09:31:00-04:00,541.6699829101562,541.8099975585938,541.52001953125,541.5599975585938,541.5599975585938,129837
2024-07-26 09:32:00-04:00,541.5422973632812,542.280029296875,541.5399780273438,542.2199096679688,542.2199096679688,173648
2024-07-26 09:33:00-04:00,542.2000122070312,542.4094848632812,542.0349731445312,542.1599731445312,542.1599731445312,127530
2024-07-26 09:34:00-04:00,542.1199951171875,542.2100219726562,541.8400268554688,541.969970703125,541.969970703125,181089
2024-07-26 09:35:00-04:00,541.9600219726562,542.4849853515625,541.9299926757812,542.22998046875,542.22998046875,190067
2024-07-26 09:36:00-04:00,542.219970703125,542.510009765625,542.080078125,542.489990234375,542.489990234375,120717
2024-07-26 09:37:00-04:00,542.5,543.0399780273438,542.489990234375,542.6699829101562,542.6699829101562,207171
2024-07-26 09:38:00-04:00,542.6699829101562,542.9400024414062,542.6627197265625,542.8599853515625,542.8599853515625,182502
2024-07-26 09:39:00-04:00,542.8200073242188,542.9500122070312,542.719970703125,542.9400024414062,542.9400024414062,111569
2024-07-26 09:40:00-04:00,542.9099731445312,543.1400146484375,542.4299926757812,542.4299926757812,542.4299926757812,112348
2024-07-26 09:41:00-04:00,542.3300170898438,542.5599975585938,542.22998046875,542.3300170898438,542.3300170898438,140322
2024-07-26 09:42:00-04:00,542.3400268554688,542.3400268554688,541.97998046875,542.1500244140625,542.1500244140625,137723
2024-07-26 09:43:00-04:00,542.1300048828125,542.6500244140625,542.010009765625,542.6400146484375,542.6400146484375,165582
2024-07-26 09:44:00-04:00,542.6599731445312,543.1099853515625,542.6599731445312,543.0,543.0,127050
2024-07-26 09:45:00-04:00,543.0,543.0900268554688,542.8200073242188,543.0599975585938,543.0599975585938,129218
2024-07-26 09:46:00-04:00,543.0399780273438,543.1799926757812,542.7108154296875,542.75,542.75,129537
2024-07-26 09:47:00-04:00,542.739990234375,542.8900146484375,542.3599853515625,542.4299926757812,542.4299926757812,127773
2024-07-26 09:48:00-04:00,542.4400024414062,542.6400146484375,542.27001953125,542.5999755859375,542.5999755859375,80468
2024-07-26 09:49:00-04:00,542.6199951171875,542.7399291992188,542.2100219726562,542.22998046875,542.22998046875,59923
2024-07-26 09:50:00-04:00,542.27001953125,542.6599731445312,542.239990234375,542.4500122070312,542.4500122070312,99211
2024-07-26 09:51:00-04:00,542.4600219726562,542.6599731445312,542.260009765625,542.530029296875,542.530029296875,75253
2024-07-26 09:52:00-04:00,542.510009765625,542.9099731445312,542.510009765625,542.75,542.75,64677
2024-07-26 09:53:00-04:00,542.739990234375,542.869873046875,542.260009765625,542.330078125,542.330078125,73010
2024-07-26 09:54:00-04:00,542.3599853515625,542.3599853515625,542.1199951171875,542.2849731445312,542.2849731445312,124854
2024-07-26 09:55:00-04:00,542.2999877929688,542.5800170898438,542.27001953125,542.5700073242188,542.5700073242188,85814
2024-07-26 09:56:00-04:00,542.5800170898438,542.77001953125,542.489990234375,542.52001953125,542.52001953125,77474
